TARGET,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION
0,Cash loans,F,Y,Y,0,180000.0,755190.0,36459.0,675000.0,Family,Commercial associate,Secondary / secondary special,Married,House / apartment,0.008625,-18667,-2150,-716.0
0,Cash loans,M,N,Y,0,270000.0,868797.0,34587.0,702000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,0.04622,-17701,-1132,-4002.0
1,Cash loans,M,Y,Y,0,315000.0,1006920.0,39933.0,900000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,0.028663,-15597,-3752,-3722.0
1,Cash loans,M,Y,N,2,342000.0,476509.5,37647.0,360000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.002506,-13414,-1415,-631.0
0,Cash loans,F,Y,Y,1,171000.0,332473.5,22347.0,274500.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,0.0060079999999999,-10710,-277,-4892.0
0,Cash loans,F,N,Y,1,171000.0,656811.0,35761.5,567000.0,Family,Working,Secondary / secondary special,Married,House / apartment,0.025164,-18705,-2742,-3963.0
0,Cash loans,M,Y,N,0,117000.0,1078200.0,31653.0,900000.0,Unaccompanied,Working,Secondary / secondary special,Civil marriage,House / apartment,0.018801,-17935,-2459,-7343.0
0,Cash loans,M,N,N,3,135000.0,494550.0,39780.0,450000.0,Family,Working,Secondary / secondary special,Married,Rented apartment,0.018801,-14292,-857,-1154.0
0,Revolving loans,F,Y,Y,0,90000.0,270000.0,13500.0,270000.0,Unaccompanied,Pensioner,Higher education,Married,House / apartment,0.035792,-21797,365243,-1371.0
0,Cash loans,F,N,Y,0,112500.0,675000.0,21906.0,675000.0,Unaccompanied,Working,Secondary / secondary special,Civil marriage,House / apartment,0.01885,-19427,-2252,-6944.0
0,Cash loans,F,N,Y,0,180000.0,528633.0,20682.0,472500.0,Unaccompanied,Pensioner,Secondary / secondary special,Widow,House / apartment,0.005084,-21272,365243,-10422.0
0,Cash loans,F,N,Y,0,229500.0,1528200.0,53118.0,1350000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.04622,-18314,-11558,-11995.0
0,Cash loans,F,N,Y,1,171000.0,609187.5,25938.0,544500.0,Unaccompanied,Working,Secondary / secondary special,Single / not married,House / apartment,0.008575,-10777,-2449,-10688.0
0,Cash loans,F,Y,Y,0,121500.0,337500.0,25362.0,337500.0,Unaccompanied,State servant,Higher education,Married,House / apartment,0.028663,-18539,-1839,-10037.0
0,Cash loans,M,N,Y,2,135000.0,450000.0,21109.5,450000.0,Unaccompanied,Working,Secondary / secondary special,Married,Rented apartment,0.006629,-11620,-2019,-3703.0
1,Cash loans,M,Y,Y,0,225000.0,675000.0,32602.5,675000.0,"Spouse, partner",Working,Secondary / secondary special,Married,House / apartment,0.028663,-20363,-1316,-1145.0
0,Cash loans,M,N,Y,0,315000.0,1046142.0,30717.0,913500.0,Unaccompanied,Working,Higher education,Married,With parents,0.022625,-15155,-2740,-3808.0
0,Cash loans,F,N,Y,0,53100.0,675000.0,21906.0,675000.0,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,0.030755,-16818,365243,-10221.0
0,Cash loans,F,N,Y,0,135000.0,948582.0,27864.0,679500.0,Unaccompanied,Commercial associate,Secondary / secondary special,Widow,House / apartment,0.010276,-16152,-1677,-6392.0
0,Cash loans,F,Y,Y,0,315000.0,1800000.0,49630.5,1800000.0,Unaccompanied,Commercial associate,Higher education,Married,House / apartment,0.02461,-19608,-977,-13631.0
0,Cash loans,F,N,N,2,126000.0,284400.0,13257.0,225000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.02461,-11027,-1383,-3376.0
0,Cash loans,F,N,N,0,405000.0,781920.0,61776.0,675000.0,Unaccompanied,Working,Higher education,Married,House / apartment,0.002506,-17024,-1646,-1527.0
0,Cash loans,F,N,Y,1,180000.0,1024290.0,30078.0,855000.0,Family,Working,Secondary / secondary special,Civil marriage,House / apartment,0.031329,-16626,-9704,-6154.0
0,Cash loans,F,N,Y,0,202500.0,640080.0,24259.5,450000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,0.00702,-20726,-10702,-5953.0
0,Cash loans,M,Y,Y,0,126000.0,441000.0,21577.5,441000.0,Unaccompanied,Working,Secondary / secondary special,Single / not married,House / apartment,0.0145199999999999,-9336,-927,-3484.0
0,Cash loans,F,N,Y,0,157500.0,585000.0,23328.0,585000.0,Family,Pensioner,Secondary / secondary special,Married,House / apartment,0.026392,-20574,365243,-5995.0
0,Cash loans,F,N,N,0,135000.0,1024740.0,43546.5,900000.0,Family,Commercial associate,Secondary / secondary special,Married,House / apartment,0.032561,-18704,-4583,-4160.0
0,Cash loans,F,N,Y,0,157500.0,521280.0,26743.5,450000.0,Unaccompanied,Commercial associate,Higher education,Married,House / apartment,0.04622,-10116,-360,-1193.0
0,Cash loans,M,Y,N,1,180000.0,473760.0,46989.0,450000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,0.008575,-15155,-1674,-8993.0
0,Cash loans,F,N,Y,1,90000.0,199080.0,11245.5,157500.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,0.035792,-11914,-3822,-5949.0
0,Cash loans,M,Y,Y,1,162000.0,450000.0,32877.0,450000.0,Unaccompanied,Working,Higher education,Married,House / apartment,0.026392,-9882,-1817,-4452.0
0,Cash loans,F,N,Y,0,157500.0,675000.0,21775.5,675000.0,Family,Working,Secondary / secondary special,Married,House / apartment,0.026392,-19443,-2442,-2208.0
0,Cash loans,M,Y,Y,0,135000.0,315000.0,13473.0,315000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.011703,-15395,-3210,-7987.0
0,Revolving loans,M,Y,Y,0,135000.0,202500.0,10125.0,202500.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.035792,-14383,-1740,-2796.0
0,Cash loans,M,N,N,0,270000.0,896157.0,39604.5,801000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.02461,-17010,-4306,-3059.0
0,Revolving loans,F,Y,N,2,121500.0,225000.0,11250.0,225000.0,Unaccompanied,Working,Higher education,Civil marriage,With parents,0.035792,-11760,-418,-944.0
0,Cash loans,F,N,Y,0,144000.0,453514.5,23283.0,391500.0,Unaccompanied,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,0.035792,-8560,-1090,-2852.0
0,Cash loans,F,Y,N,1,162000.0,675000.0,32472.0,675000.0,Unaccompanied,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,0.030755,-9882,365243,-4649.0
0,Cash loans,M,N,Y,0,157500.0,460858.5,22545.0,324000.0,Unaccompanied,Working,Secondary / secondary special,Civil marriage,House / apartment,0.0088659999999999,-10135,-1931,-4504.0
0,Cash loans,F,N,N,0,90000.0,630000.0,20322.0,630000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.022625,-18682,-2629,-11984.0
0,Cash loans,F,N,Y,0,99000.0,286704.0,13923.0,247500.0,Family,Pensioner,Secondary / secondary special,Widow,House / apartment,0.009175,-23718,365243,-11647.0
0,Cash loans,M,Y,N,0,112500.0,364500.0,16992.0,364500.0,Unaccompanied,Pensioner,Lower secondary,Married,House / apartment,0.018029,-23248,365243,-53.0
0,Cash loans,F,Y,Y,0,225000.0,900000.0,32017.5,900000.0,Unaccompanied,Pensioner,Incomplete higher,Widow,House / apartment,0.026392,-20367,365243,-14434.0
0,Cash loans,M,N,Y,0,225000.0,254700.0,25321.5,225000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,0.031329,-24336,-2652,-2640.0
0,Cash loans,F,N,Y,1,225000.0,752116.5,41994.0,688500.0,Unaccompanied,Commercial associate,Higher education,Single / not married,With parents,0.019101,-14739,-4952,-1094.0
0,Cash loans,F,N,N,0,157500.0,107820.0,7798.5,90000.0,Unaccompanied,Working,Secondary / secondary special,Married,Municipal apartment,0.0105,-14760,-4006,-1127.0
0,Cash loans,M,Y,Y,0,364500.0,742500.0,21838.5,742500.0,Unaccompanied,Working,Higher education,Single / not married,House / apartment,0.018209,-12044,-662,-1198.0
0,Cash loans,F,N,N,0,171000.0,787500.0,23026.5,787500.0,Unaccompanied,Working,Secondary / secondary special,Civil marriage,House / apartment,0.010556,-14199,-7445,-960.0
0,Cash loans,M,Y,Y,1,135000.0,1125171.0,41697.0,1035000.0,Unaccompanied,Working,Higher education,Married,House / apartment,0.020246,-16205,-7536,-4610.0
0,Cash loans,F,N,Y,0,135000.0,500566.5,49639.5,481500.0,Unaccompanied,State servant,Secondary / secondary special,Married,House / apartment,0.035792,-20311,-278,-3514.0
0,Revolving loans,F,Y,Y,0,126000.0,225000.0,11250.0,225000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,0.005313,-13241,-667,-4329.0
0,Cash loans,F,Y,Y,0,202500.0,587619.0,17181.0,490500.0,Unaccompanied,State servant,Secondary / secondary special,Single / not married,House / apartment,0.04622,-19986,-1586,-8322.0
0,Cash loans,F,Y,Y,0,315000.0,651595.5,31477.5,526500.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.022625,-19638,-1893,-9686.0
0,Cash loans,F,N,N,2,67500.0,675000.0,21906.0,675000.0,Unaccompanied,Working,Secondary / secondary special,Married,With parents,0.00712,-12358,-2073,-987.0
0,Cash loans,F,N,Y,0,180000.0,675000.0,21906.0,675000.0,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,0.0145199999999999,-20185,365243,-7309.0
1,Cash loans,F,N,Y,0,157500.0,291915.0,19638.0,252000.0,Unaccompanied,Pensioner,Higher education,Separated,House / apartment,0.006852,-23155,365243,-2380.0
0,Cash loans,M,Y,Y,0,270000.0,1006920.0,40063.5,900000.0,Unaccompanied,Working,Secondary / secondary special,Married,Municipal apartment,0.0116569999999999,-11322,-3664,-1112.0
0,Cash loans,M,N,Y,2,202500.0,479700.0,50503.5,450000.0,Family,Working,Higher education,Married,House / apartment,0.00496,-15160,-2463,-8713.0
0,Cash loans,F,N,N,1,233406.0,1350000.0,34128.0,1350000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,0.032561,-11753,-1673,-1740.0
0,Revolving loans,F,N,Y,1,162000.0,337500.0,16875.0,337500.0,Family,Working,Secondary / secondary special,Married,House / apartment,0.008575,-14995,-1174,-9013.0
0,Cash loans,F,Y,N,1,292500.0,1072809.0,31495.5,895500.0,Family,Working,Secondary / secondary special,Married,House / apartment,0.01885,-13693,-3117,-3331.0
0,Cash loans,F,N,Y,0,202500.0,1193580.0,35028.0,855000.0,Unaccompanied,Working,Secondary / secondary special,Civil marriage,House / apartment,0.020713,-17773,-1242,-5502.0
0,Cash loans,F,N,Y,0,171000.0,247500.0,18139.5,247500.0,Unaccompanied,Pensioner,Secondary / secondary special,Widow,House / apartment,0.018634,-23776,365243,-8765.0
0,Cash loans,F,N,Y,0,315000.0,900000.0,57519.0,900000.0,Unaccompanied,Working,Higher education,Widow,House / apartment,0.022625,-18362,-7086,-8743.0
0,Cash loans,F,N,N,0,180000.0,269550.0,12001.5,225000.0,Unaccompanied,Pensioner,Higher education,Single / not married,House / apartment,0.006233,-23549,365243,-11074.0
0,Cash loans,F,N,Y,0,157500.0,675000.0,19867.5,675000.0,Unaccompanied,Working,Secondary / secondary special,Single / not married,House / apartment,0.035792,-17511,-587,-1519.0
0,Cash loans,M,Y,Y,1,157500.0,352044.0,17253.0,247500.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.018634,-16122,-3274,-4528.0
0,Cash loans,F,N,Y,0,56250.0,79128.0,5755.5,72000.0,Family,Working,Secondary / secondary special,Married,House / apartment,0.01885,-14657,-5793,-2317.0
0,Cash loans,M,N,N,0,157500.0,167895.0,15696.0,157500.0,Unaccompanied,Working,Secondary / secondary special,Single / not married,House / apartment,0.020246,-8575,-630,-3441.0
0,Cash loans,F,N,Y,0,112500.0,743031.0,39717.0,688500.0,Unaccompanied,Commercial associate,Higher education,Married,House / apartment,0.025164,-18381,-2482,-4430.0
0,Cash loans,M,Y,Y,0,126000.0,526500.0,22306.5,526500.0,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,0.018029,-20782,365243,-10613.0
0,Cash loans,F,N,Y,1,135000.0,194076.0,15367.5,162000.0,Family,Working,Secondary / secondary special,Married,House / apartment,0.031329,-17138,-8276,-258.0
1,Revolving loans,M,Y,N,0,112500.0,180000.0,9000.0,180000.0,Unaccompanied,Working,Higher education,Civil marriage,House / apartment,0.018029,-11239,-1795,-47.0
0,Cash loans,F,N,Y,2,148500.0,545040.0,25537.5,450000.0,Unaccompanied,Working,Secondary / secondary special,Civil marriage,House / apartment,0.006629,-13414,-1464,-1093.0
0,Cash loans,M,N,Y,0,157500.0,645903.0,34218.0,598500.0,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,0.019101,-23389,365243,-9584.0
0,Cash loans,M,N,N,1,382500.0,247275.0,19953.0,225000.0,Unaccompanied,Commercial associate,Higher education,Married,House / apartment,0.0038179999999999,-15618,-864,-3291.0
0,Revolving loans,F,N,Y,2,135000.0,270000.0,13500.0,270000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.030755,-13651,-319,-2139.0
0,Cash loans,F,N,Y,2,157500.0,728460.0,53140.5,675000.0,Family,Working,Higher education,Married,House / apartment,0.008625,-12530,-4205,-396.0
0,Cash loans,F,N,Y,0,202500.0,760225.5,30280.5,679500.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.016612,-15810,-4478,-9852.0
0,Cash loans,M,Y,N,0,135000.0,305221.5,24246.0,252000.0,"Spouse, partner",Commercial associate,Secondary / secondary special,Married,House / apartment,0.018029,-12989,-804,-4777.0
0,Revolving loans,F,N,Y,0,139500.0,270000.0,13500.0,270000.0,Family,Commercial associate,Higher education,Civil marriage,House / apartment,0.030755,-10259,-510,-3626.0
0,Cash loans,F,N,Y,0,495000.0,945000.0,40167.0,945000.0,Unaccompanied,Working,Higher education,Married,House / apartment,0.026392,-17683,-1302,-4341.0
0,Cash loans,M,Y,Y,0,135000.0,607500.0,25668.0,607500.0,Unaccompanied,Working,Secondary / secondary special,Separated,House / apartment,0.015221,-13292,-304,-7315.0
0,Cash loans,M,N,Y,0,225000.0,509922.0,31194.0,472500.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.006629,-16587,-4438,-5260.0
0,Cash loans,F,N,N,1,126000.0,521280.0,27423.0,450000.0,Unaccompanied,State servant,Secondary / secondary special,Married,With parents,0.006629,-11300,-2132,-705.0
0,Cash loans,M,N,Y,0,67500.0,325908.0,14485.5,247500.0,Unaccompanied,Working,Secondary / secondary special,Widow,House / apartment,0.015221,-16475,-1926,-597.0
